"linkid","birth_date","sex"
100000,2010-06-15,"M"
100001,2004-07-30,"M"
100002,2009-04-07,"F"
100003,2011-02-05,"M"
100004,2014-11-01,"M"
100005,2014-06-17,"F"
100006,2011-01-22,"M"
100007,2012-04-08,"M"
100008,2009-11-11,"M"
100009,2011-12-25,"M"
100010,2013-05-07,"F"
100011,2014-03-18,"M"
100012,2012-11-07,"F"
100013,2012-06-12,"F"
100014,2009-10-21,"M"
100015,2013-09-13,"M"
100016,2012-02-18,"M"
100017,2010-08-23,"M"
100018,2012-03-14,"M"
100019,2012-07-20,"F"
100020,2010-09-15,"M"
100021,2009-08-26,"M"
100022,2014-10-20,"F"
100023,2010-07-01,"M"
100024,2010-08-06,"F"
100025,2011-12-21,"M"
100026,2011-09-19,"M"
100027,2012-08-10,"M"
100028,2013-05-16,"F"
100029,2011-12-11,"F"
100030,2012-07-08,"F"
100031,2014-10-19,"M"
100032,2010-01-13,"M"
100033,2014-07-18,"M"
100034,2013-01-05,"F"
100035,2013-06-07,"M"
100036,2010-04-20,"F"
100037,2013-10-04,"F"
100038,2010-01-12,"F"
100039,2009-05-17,"F"
100040,2010-06-06,"F"
100041,2011-01-22,"F"
100042,2014-06-29,"F"
100043,2014-08-26,"F"
100044,2009-08-20,"M"
100045,2014-08-06,"M"
100046,2014-07-29,"F"
100047,2010-11-05,"M"
100048,2012-04-20,"M"
100049,2010-06-08,"F"
100050,2013-08-06,"F"
100051,2011-05-24,"F"
100052,2012-07-31,"F"
100053,2010-09-01,"M"
100054,2012-12-06,"U"
100055,2000-04-06,"F"
100056,2010-09-17,"M"
100057,2010-07-01,"F"
100058,2009-06-01,"F"
100059,2014-05-21,"F"
100060,2010-10-03,"U"
100061,2013-12-22,"M"
100062,2014-06-24,"M"
100063,2010-10-10,"M"
100064,2012-03-06,"M"
100065,2010-07-01,"M"
100066,2009-11-11,"F"
100067,2011-06-28,"M"
100068,2010-11-11,"F"
100069,2013-05-01,"F"
100070,2012-01-18,"F"
100071,2012-02-05,"M"
100072,2014-09-07,"F"
100073,2014-07-15,"M"
100074,2009-09-27,"F"
100075,2009-10-18,"F"
100076,2012-06-07,"F"
100077,2009-11-30,"M"
100078,2013-05-29,"M"
100079,2014-03-20,"M"
100080,2011-10-21,"M"
100081,2013-12-02,"F"
100082,2009-07-10,"M"
100083,2010-11-11,"M"
100084,2012-10-15,"F"
100085,2009-07-25,"M"
100086,2013-05-28,"M"
100087,2012-03-10,"F"
100088,2011-04-20,"M"
100089,2013-11-11,"M"
100090,2010-04-02,"M"
100091,2014-09-27,"F"
100092,2011-04-10,"M"
100093,2013-08-20,"F"
100094,2011-05-04,"M"
100096,2014-03-30,"F"
100097,2010-11-06,"F"
100098,2009-12-17,"F"
100099,2012-11-22,"F"
100100,2012-05-03,"F"
100101,2011-11-11,"M"
100103,2010-07-01,"F"
100104,2011-01-12,"M"
100105,2012-07-13,"M"
100106,2009-03-05,"F"
100107,2011-08-22,"F"
100108,2009-07-22,"M"
100109,2014-02-08,"M"
100110,2011-02-10,"F"
100111,2013-05-25,"M"
100112,2014-01-19,"F"
100113,2009-07-12,"M"
100114,2010-01-28,"F"
100115,2011-03-06,"F"
100116,2009-04-21,"F"
100117,2011-10-17,"M"
100118,2009-09-09,"F"
100119,2009-01-26,"M"
100120,2014-02-01,"F"
100121,2013-10-18,"M"
100122,2013-09-20,"M"
100123,2012-12-03,"F"
100124,2013-06-13,"F"
100125,2013-11-11,"F"
100126,2010-02-05,"F"
100127,2014-11-15,"M"
100128,2009-06-15,"M"
100129,2013-02-02,"M"
100130,2010-07-31,"F"
100131,2013-08-06,"M"
100132,2014-12-14,"M"
100133,2000-06-06,"F"
100134,2014-03-19,"M"
100135,2013-08-21,"M"
100136,2010-05-23,"F"
100137,2013-06-14,"F"
100138,2014-07-15,"M"
100139,2014-01-22,"F"
100140,2014-04-05,"M"
100141,2010-07-01,"M"
100142,2013-03-17,"F"
100143,2014-01-11,"F"
100144,2014-02-26,"F"
100145,2012-08-03,"M"
100146,2014-03-10,"M"
100147,2013-10-04,"M"
100148,2010-09-08,"F"
100149,2011-10-30,"M"
100150,2011-12-14,"F"
100151,2014-12-01,"M"
100152,2009-01-06,"F"
100153,2009-11-30,"F"
100154,2010-02-01,"M"
100155,2013-11-06,"F"
100156,2009-11-25,"F"
100157,2012-08-19,"M"
100158,2013-12-27,"M"
100159,2009-10-04,"F"
100160,2014-05-04,"F"
100161,2012-12-29,"M"
100162,2012-01-16,"M"
100163,2010-05-16,"F"
100164,2012-04-11,"M"
100165,2010-03-12,"F"
100166,2012-06-28,"F"
100167,2012-01-06,"F"
100168,2012-07-05,"F"
100169,2014-01-02,"M"
100170,2009-08-08,"M"
100171,2009-12-02,"F"
100172,2010-12-16,"F"
100173,2013-06-17,"M"
100174,2012-11-11,"M"
100175,2014-12-28,"F"
100176,2009-05-14,"M"
100177,2012-05-17,"F"
100178,2010-09-28,"M"
100179,2014-12-08,"F"
100180,2009-02-02,"F"
100181,2012-08-13,"M"
100182,2011-04-22,"F"
100183,2011-10-11,"M"
100184,2010-07-01,"F"
100185,2009-04-10,"M"
100186,2012-11-12,"F"
100187,2011-05-08,"F"
100188,2010-10-16,"M"
100189,2010-02-26,"F"
100190,2008-01-09,"F"
100191,2011-09-29,"M"
100192,2012-03-28,"M"
100193,2011-11-10,"F"
100194,2012-04-21,"M"
100196,2012-08-13,"M"
100197,2013-03-02,"F"
100198,2011-09-02,"F"
100199,2012-03-19,"F"
100200,2013-11-25,"F"
100201,2012-01-30,"F"
100202,2010-03-03,"F"
100203,2011-08-09,"M"
100204,2009-05-02,"M"
100205,2010-11-10,"F"
100206,2013-02-12,"M"
100207,2012-11-04,"F"
100208,2012-03-23,"M"
100209,2013-11-11,"M"
100210,2009-09-08,"F"
100211,2012-06-02,"M"
100212,2011-03-17,"M"
100213,2010-06-12,"M"
100214,2010-12-15,"F"
100215,2012-07-01,"M"
100216,2009-05-28,"M"
100217,2012-07-06,"F"
100218,2011-09-26,"F"
100219,2014-08-09,"F"
100220,2010-09-29,"M"
100221,2010-12-26,"F"
100222,2010-07-22,"M"
100223,2009-03-21,"F"
100224,2013-07-28,"F"
100225,2014-08-20,"F"
100226,2009-06-29,"F"
100227,2014-03-06,"M"
100228,2012-12-21,"F"
100229,2014-06-12,"M"
100230,2009-06-08,"M"
100231,2010-01-09,"F"
100232,2013-05-18,"M"
100233,2012-05-17,"F"
100234,2012-04-16,"M"
100235,2010-02-09,"M"
100236,2011-09-28,"F"
100237,2012-09-02,"F"
100238,2011-10-19,"F"
100239,2009-12-02,"M"
100240,2014-08-17,"F"
100241,2013-05-15,"F"
100242,2014-03-19,"F"
100243,2011-01-10,"M"
100244,2012-02-05,"M"
100245,2011-01-01,"M"
100246,2009-02-27,"F"
100247,2011-07-12,"M"
100248,2014-09-03,"M"
100249,2010-08-30,"M"
100250,2011-01-27,"F"
100251,2014-11-29,"M"
100252,2012-10-12,"M"
100253,2012-11-02,"F"
100254,2009-07-17,"M"
100255,2009-05-30,"F"
100256,2012-01-12,"F"
100257,2009-02-04,"F"
100259,2013-07-25,"F"
100260,2014-03-22,"F"
100261,2014-07-08,"F"
100262,2014-02-03,"F"
100263,2012-04-04,"M"
100265,2010-05-08,"M"
100266,2009-07-10,"M"
100267,2010-06-01,"F"
100268,2010-03-17,"F"
100269,2012-06-22,"F"
100270,2009-05-04,"M"
100271,2009-04-24,"F"
100272,2009-05-04,"F"
100273,2011-11-25,"F"
100274,2011-02-28,"M"
100275,2011-08-02,"M"
100276,2013-12-13,"M"
100277,2010-03-12,"M"
100278,2010-07-24,"M"
100279,2011-11-11,"M"
100280,2012-07-19,"F"
100281,2009-06-09,"F"
100282,2011-02-22,"M"
100283,2010-07-01,"F"
100284,2009-05-12,"F"
100285,2014-05-13,"M"
100286,2012-09-22,"M"
100287,2012-12-16,"F"
100288,2014-05-22,"M"
100289,2012-07-23,"F"
100290,2011-12-01,"F"
100291,2014-11-06,"F"
100292,2014-12-09,"M"
100293,2011-04-30,"F"
100294,2010-06-18,"F"
100295,2014-04-26,"M"
100296,2012-04-19,"F"
100297,2010-09-30,"F"
100298,2011-08-15,"M"
100299,2012-07-22,"M"
100300,2011-06-22,"F"
100301,2014-10-06,"F"
100302,2014-07-02,"M"
100303,2009-04-05,"F"
100304,2010-08-21,"M"
100305,2014-02-27,"F"
100306,2013-11-22,"M"
100307,2010-02-21,"F"
100308,2014-05-29,"M"
100309,2011-06-27,"F"
100310,2010-02-17,"F"
100311,2009-03-14,"F"
100312,2009-05-29,"M"
100313,2011-10-07,"F"
100314,2011-09-01,"M"
100315,2012-06-23,"M"
100316,2010-03-12,"F"
100317,2012-01-01,"F"
100318,2014-11-02,"M"
100319,2013-07-25,"M"
100320,2009-05-21,"M"
100321,2011-03-24,"M"
100322,2009-04-11,"F"
100323,2012-10-18,"M"
100324,2012-04-12,"F"
100325,2010-04-11,"M"
100326,2011-12-14,"F"
100327,2012-06-30,"M"
100328,2010-02-19,"F"
100329,2012-12-17,"F"
100330,2014-01-10,"F"
100331,2009-12-10,"F"
100332,2009-06-26,"M"
100333,2011-10-12,"M"
100335,2012-10-18,"F"
100336,2014-05-28,"F"
100337,2012-12-30,"F"
100338,2014-04-12,"F"
100339,2013-07-02,"M"
100341,2010-08-20,"F"
100342,2012-01-28,"M"
100344,2014-08-18,"F"
100345,2011-11-07,"M"
100346,2013-10-05,"F"
100347,2013-02-21,"F"
100348,2009-12-24,"M"
100350,2010-09-15,"F"
100351,2012-06-23,"M"
100352,2014-11-25,"F"
100353,2013-12-17,"M"
100354,2010-07-31,"M"
100355,2010-01-06,"M"
100356,2009-06-22,"F"
100357,2014-11-15,"M"
100358,2009-05-31,"F"
100359,2012-11-13,"F"
100360,2011-02-16,"F"
100361,2014-10-23,"M"
100362,2012-08-28,"M"
100363,2010-03-17,"M"
100364,2009-01-27,"M"
100365,2011-05-17,"M"
100366,2010-07-12,"F"
100368,2012-05-07,"F"
100369,2014-02-07,"M"
100370,2010-11-13,"M"
100371,2014-10-02,"F"
100372,2009-12-18,"M"
100373,2009-03-02,"M"
100374,2012-12-15,"F"
100375,2010-02-02,"M"
100376,2012-03-24,"M"
100377,2014-02-02,"F"
100378,2012-10-29,"F"
100379,2011-02-01,"M"
100380,2010-02-08,"F"
100381,2013-07-10,"M"
100382,2011-07-07,"F"
100383,2010-05-20,"F"
100384,2001-10-27,"F"
100385,2011-10-19,"M"
100386,2014-07-26,"F"
100387,2013-11-03,"F"
100388,2009-07-14,"F"
100389,2014-11-01,"M"
100390,2010-02-08,"M"
100391,2009-04-18,"F"
100392,2010-04-03,"F"
100393,2013-07-03,"F"
100394,2009-11-12,"F"
100395,2010-07-24,"M"
100396,2012-01-14,"M"
100397,2012-05-20,"F"
100398,2009-01-25,"F"
100399,2011-03-01,"M"
100400,2010-08-08,"F"
100401,2013-05-29,"F"
100402,2010-04-18,"F"
100403,2013-10-01,"F"
100404,2010-08-25,"M"
100405,2012-10-05,"M"
100406,2013-10-20,"M"
100407,2013-08-29,"F"
100408,2012-12-07,"F"
100409,2013-07-01,"F"
100410,2012-11-03,"F"
100411,2014-02-20,"F"
100412,2010-04-20,"M"
100413,2010-12-28,"M"
100414,2011-11-11,"M"
100415,2012-07-20,"F"
100416,2009-10-16,"M"
100417,2014-10-19,"F"
100418,2013-04-17,"M"
100419,2011-09-27,"M"
100420,2013-12-15,"M"
100421,2014-09-18,"M"
100422,2014-06-09,"F"
100423,2011-04-07,"M"
100424,2011-10-21,"M"
100425,2014-11-01,"F"
100426,2011-10-01,"M"
100427,2014-02-17,"M"
100428,2008-03-17,"F"
100429,2012-11-11,"M"
100430,2010-05-14,"M"
100431,2013-10-04,"M"
100432,2013-10-24,"F"
100433,2012-03-10,"F"
100434,2013-04-14,"F"
100435,2012-01-12,"F"
100436,2010-06-23,"F"
100437,2013-09-19,"F"
100438,2013-06-11,"M"
100439,2009-06-13,"M"
100440,2012-09-07,"F"
100441,2014-05-15,"F"
100442,2013-02-05,"M"
100443,2011-10-07,"F"
100444,2013-11-09,"F"
100445,2012-12-27,"M"
100446,2010-03-14,"M"
100447,2010-05-27,"F"
100448,2010-01-04,"F"
100449,2013-06-24,"M"
100450,2009-05-15,"F"
100451,2009-05-14,"M"
100452,2012-01-15,"M"
100453,2013-05-14,"M"
100454,2009-01-08,"F"
100455,2013-05-21,"M"
100456,2013-12-04,"F"
100457,2013-04-10,"F"
100458,2009-07-01,"F"
100459,2011-02-14,"F"
100460,2012-06-05,"F"
100461,2009-10-12,"F"
100462,2013-12-07,"M"
100463,2013-07-14,"F"
100464,2013-09-24,"F"
100465,2012-10-28,"F"
100466,2009-06-02,"M"
100467,2013-07-03,"F"
100468,2009-08-08,"M"
100469,2010-04-28,"F"
100470,2010-07-26,"F"
100471,2012-09-02,"F"
100472,2009-11-26,"M"
100473,2014-05-25,"M"
100474,2009-11-08,"M"
100475,2010-11-16,"F"
100476,2014-10-22,"F"
100477,2014-11-11,"M"
100478,2013-03-11,"F"
100479,2012-10-07,"F"
100480,2009-09-28,"M"
100481,2013-08-01,"F"
100482,2011-03-29,"M"
100483,2010-12-08,"F"
100484,2009-12-04,"M"
100485,2010-08-11,"M"
100486,2013-01-01,"M"
100487,2014-01-04,"F"
100488,2011-10-19,"M"
100489,2012-11-11,"M"
100490,2009-01-05,"M"
100491,2009-04-16,"M"
100492,2009-01-03,"M"
100493,2014-02-13,"F"
100494,2011-05-30,"F"
100495,2014-09-23,"F"
100496,2014-10-05,"M"
100497,2011-01-23,"M"
100498,2011-08-06,"F"
100499,2011-06-28,"F"
100500,2014-01-31,"F"
100501,2012-07-17,"M"
100502,2013-02-21,"F"
100503,2012-03-06,"F"
100504,2014-11-08,"F"
100505,2013-10-09,"M"
100506,2014-12-19,"F"
100507,2013-10-22,"F"
100508,2014-04-05,"M"
100509,2014-12-20,"F"
100510,2009-12-23,"F"
100511,2010-12-19,"M"
100512,2012-06-19,"F"
100513,2013-09-29,"M"
100514,2014-08-29,"M"
100515,2013-08-25,"F"
100516,2012-08-14,"F"
100517,2014-05-03,"M"
100518,2009-01-29,"M"
100519,2011-11-11,"M"
100520,2010-07-01,"F"
100521,2009-12-04,"M"
100522,2010-02-13,"M"
100523,2013-11-26,"F"
100524,2014-08-13,"M"
100525,2011-10-31,"M"
100526,2014-10-20,"M"
100527,2012-12-17,"F"
100528,2013-04-24,"F"
100529,2011-06-28,"M"
100530,2009-01-25,"F"
100532,2009-11-11,"M"
100533,2010-10-17,"M"
100534,2013-01-17,"F"
100535,2014-02-08,"F"
100537,2010-02-12,"M"
100538,2011-07-16,"F"
100540,2010-08-01,"M"
100541,2012-01-24,"M"
100542,2009-06-13,"U"
100543,2014-02-09,"U"
100544,2012-02-09,"U"
100545,2009-10-24,"U"
100546,2014-12-14,"U"
100547,2009-07-11,"U"
100548,2014-04-06,"U"
100549,2012-05-10,"U"
100550,2012-06-25,"U"
100551,2012-02-18,"U"
100552,2012-12-10,"F"
100553,2010-01-22,"F"
100554,2013-08-17,"F"
100555,2013-11-23,"F"
100556,2011-04-07,"M"
100557,2010-01-22,"F"
100558,2010-06-30,"F"
100559,2013-01-11,"F"
100560,2009-07-23,"M"
100561,2012-12-29,"F"
100562,2014-03-30,"F"
100563,2013-06-22,"M"
100564,2011-07-22,"F"
100565,2011-08-21,"F"
100566,2010-07-01,"F"
100567,2010-03-02,"F"
100568,2013-01-10,"M"
100569,2012-03-08,"F"
100570,2012-02-23,"M"
100571,2009-10-18,"F"
100572,2011-08-31,"M"
100573,2013-08-09,"F"
100574,2009-04-05,"F"
100575,2011-10-10,"F"
100576,2012-01-04,"F"
100577,2013-01-03,"F"
100578,2012-11-07,"F"
100579,2010-03-30,"F"
100580,2011-03-12,"M"
100581,2013-09-10,"F"
100582,2011-06-22,"M"
100583,2010-08-19,"M"
100584,2011-06-24,"M"
100585,2011-01-01,"F"
100586,2010-01-26,"F"
100587,2014-11-11,"M"
100588,2010-04-21,"M"
100589,2012-12-23,"F"
100590,2009-03-16,"M"
100591,2013-02-28,"F"
100592,2011-08-03,"F"
100593,2013-05-01,"F"
100594,2010-07-01,"M"
100595,2012-11-30,"F"
100596,2009-09-20,"M"
100597,2009-01-17,"M"
100598,2012-07-15,"M"
100600,2012-05-22,"F"
100601,2010-01-28,"M"
100602,2009-11-13,"M"
100603,2011-01-11,"M"
100604,2013-12-01,"F"
100605,2014-07-11,"F"
100606,2010-08-11,"F"
100607,2003-07-16,"M"
100608,2009-09-11,"F"
100609,2014-07-26,"M"
